,0
0,359748.7717953
1,359748.7718448
2,359748.7719709
3,359748.787388
4,359748.7874332
5,359748.7876171
6,359748.7878457
7,359748.7879754
8,359748.7880344
9,359748.8024324
10,359748.8024914
11,359748.8027121
12,359748.8029199
13,359748.8030495
14,359748.8030886
15,359748.803132
16,359748.8175137
17,359748.8175466
18,359748.8330193
19,359748.8331634
20,359748.8332171
21,359748.8332855
22,359748.8334038
23,359748.833451
24,359748.8491219
25,359748.8491738
26,359748.849235
27,359748.849279
28,359748.8646175
29,359748.8646616
30,359748.8649521
31,359748.8649973
32,359748.8958125
33,359748.9276114
34,359748.9279045
35,359748.92806
36,359748.928182
37,359748.9283026
38,359748.9283411
39,359748.9285712
40,359748.928604
41,359748.9443461
42,359748.9443938
43,359748.9444352
44,359748.9444582
45,359748.9444805
46,359748.9444976
47,359748.944529
48,359748.944553
49,359748.9445642
50,359748.9446355
51,359748.9596523
52,359748.9597013
53,359748.9597487
54,359748.9597651
55,359748.975477
56,359748.9756659
57,359748.9758377
58,359748.9761478
59,359748.9763401
60,359748.9764744
61,359748.9904286
62,359748.9905005
63,359748.9907164
64,359749.0058947
65,359749.0061446
66,359749.0064303
67,359749.021451
68,359749.0217484
69,359749.0221243
70,359749.0223215
71,359749.0370629
72,359749.0374919
73,359749.0376916
74,359749.0525452
75,359749.0527731
76,359749.053044
77,359749.0532881
78,359749.0534665
79,359749.0678807
80,359749.0683527
81,359749.0686679
82,359749.0688382
83,359749.0829802
84,359749.0832686
85,359749.0837108
86,359749.0979645
87,359749.0981927
88,359749.0983569
89,359749.098422
90,359749.0984457
91,359749.1143609
92,359749.1145572
93,359749.1302664
94,359749.1303667
95,359749.1304037
96,359749.1304534
97,359749.130508
98,359749.1457294
99,359749.1459347
100,359749.1460802
101,359749.1461799
102,359749.1610922
103,359749.1615124
104,359749.1619332
105,359749.1620758
106,359749.1764534
107,359749.1772966
108,359749.1777255
109,359749.1924984
110,359749.192925
111,359749.1930831
112,359749.1932004
113,359749.2085222
114,359749.2086873
115,359749.2087723
116,359749.2088698
117,359749.2089202
118,359749.2246528
119,359749.224836
120,359749.2250248
121,359749.2253384
122,359749.2407632
123,359749.2409397
124,359749.2719797
125,359749.2881512
126,359749.2882061
127,359749.2882346
128,359749.2885906
129,359749.2887851
130,359749.2891051
131,359749.2894353
132,359749.2896768
133,359749.2898415
134,359749.2899657
135,359749.3031946
136,359749.30326
137,359749.3032869
138,359749.3033069
139,359749.3033507
140,359749.3181857
141,359749.3184566
142,359749.3186185
143,359749.3189043
144,359749.3193551
145,359749.3195777
146,359749.3197704
147,359749.3344113
148,359749.3346265
149,359749.3347975
150,359749.3504483
151,359749.3505115
152,359749.3505392
153,359749.3505899
154,359749.3662252
155,359749.3664173
156,359749.3664521
157,359749.3664863
158,359749.3665125
159,359749.4132813
160,359749.4133652
161,359749.4134868
162,359749.413899
163,359749.4141108
164,359749.4141539
165,359749.4141788
166,359749.4288232
167,359749.428997
168,359749.4292546
169,359749.4294972
170,359749.4297513
171,359749.4300486
172,359749.4301998
173,359749.4442464
174,359749.444548
175,359749.4447127
176,359749.4450234
177,359749.4603149
178,359749.4606663
179,359749.4610198
180,359749.4613238
181,359749.4763907
182,359749.4769409
183,359749.4770966
184,359749.4771379
185,359749.4926103
186,359749.4929734
187,359749.4933536
188,359749.4935905
189,359749.4937805
190,359749.5084023
191,359749.5087356
192,359749.508932
193,359749.5244187
194,359749.5247148
195,359749.5250698
196,359749.540522
197,359749.540591
198,359749.5406035
199,359749.540686
200,359749.5407082
201,359749.5565806
202,359749.5568006
203,359749.5572806
204,359749.5578823
205,359749.5726676
206,359749.5728038
207,359749.572834
208,359749.587756
209,359749.5878949
210,359749.5879241
211,359749.5879473
212,359749.6033873
213,359749.603751
214,359749.6045313
215,359749.6512317
216,359749.6515386
217,359749.651978
218,359749.6523309
219,359749.6530068
220,359749.6536165
221,359749.6537968
222,359749.6540309
223,359749.6542116
224,359749.6668861
225,359749.6670085
226,359749.6671753
227,359749.667427
228,359749.6674427
229,359749.6675323
230,359749.6676612
231,359749.6679403
232,359749.6823147
233,359749.6824639
234,359749.682724
235,359749.6827995
236,359749.6830501
237,359749.6834634
238,359749.6983398
239,359749.7134565
240,359749.713714
241,359749.7141284
242,359749.7143728
243,359749.7146821
244,359749.7294965
245,359749.7295312
246,359749.7297436
247,359749.7306308
248,359749.7308324
249,359749.7443249
250,359749.7444757
251,359749.745454
252,359749.7600598
253,359749.7601781
254,359749.7601915
255,359749.7602929
256,359749.7755049
257,359749.7755486
258,359749.7755594
259,359749.7759105
260,359749.7910955
261,359749.7914174
262,359749.7922656
263,359749.7927337
264,359749.8061092
265,359749.8062358
266,359749.8067161
267,359749.8068694
268,359749.8215036
269,359749.8217808
270,359749.8219487
271,359749.8220729
272,359749.8373492
273,359749.8374574
274,359749.8374877
275,359749.8528518
276,359749.8529368
277,359749.8530661
278,359749.8531811
279,359749.8534223
280,359749.867841
281,359749.867949
282,359749.8680456
283,359749.8833414
284,359749.8835552
285,359749.8837448
286,359749.8995119
287,359749.8995484
288,359749.8996625
289,359749.8997016
290,359749.8997387
291,359749.9000234
292,359749.9161092
293,359749.9161982
294,359749.916245
295,359749.916299
296,359749.9316093
297,359749.9316512
298,359749.9316623
299,359749.9316767
300,359749.9466598
301,359749.9467022
302,359749.9627114
303,359749.962775
304,359749.9627985
305,359749.962893
306,359749.9629337
307,359750.0257477
308,359750.025998
309,359750.0263531
310,359750.0574474
311,359750.0577359
312,359750.0580757
313,359750.0583208
314,359750.0587232
315,359750.0588922
316,359750.059014
317,359750.0591237
318,359750.0592311
319,359750.0733402
320,359750.0735664
321,359750.0737503
322,359750.0738822
323,359750.0741504
324,359750.0742996
325,359750.08897
326,359750.089046
327,359750.0890568
328,359750.0890819
329,359750.0891085
330,359750.0891215
331,359750.0891492
332,359750.0891766
333,359750.1046145
334,359750.1059829
335,359750.1061252
336,359750.1062449
337,359750.1063563
338,359750.1064975
339,359750.1066071
340,359750.1067166
341,359750.1205796
342,359750.1208384
343,359750.1209761
344,359750.1211401
345,359750.1213918
346,359750.1356766
347,359750.1360343
348,359750.1364249
349,359750.1365724
350,359750.1510991
351,359750.1513975
352,359750.1515578
353,359750.1667676
354,359750.166998
355,359750.1671559
356,359750.1672798
357,359750.1673867
358,359750.1824088
359,359750.1824497
360,359750.1824602
361,359750.182483
362,359750.1826519
363,359750.1978946
364,359750.1980877
365,359750.1983146
366,359750.2132939
367,359750.2136818
368,359750.2138222
369,359750.2141802
370,359750.2289186
371,359750.2295642
372,359750.2303348
373,359750.2443029
374,359750.2445093
375,359750.2447235
376,359750.244941
377,359750.259818
378,359750.2599492
379,359750.2600526
380,359750.2601625
381,359750.2602738
382,359750.2755322
383,359750.2912039
384,359750.2914436
385,359750.2918359
386,359750.2922842
387,359750.2924346
388,359750.2925721
389,359750.3073335
390,359750.3074255
391,359750.3077664
392,359750.3233692
393,359750.3235069
394,359750.3236722
395,359750.3239184
396,359750.3244766
397,359750.3389512
398,359750.3391301
399,359750.3856648
400,359750.3857142
401,359750.3857252
402,359750.3857336
403,359750.4016169
404,359750.4018805
405,359750.4020347
406,359750.4024052
407,359750.4025837
408,359750.4026853
409,359750.4027172
410,359750.4027431
411,359750.4027664
412,359750.4027897
413,359750.4028126
414,359750.4028385
415,359750.4172574
416,359750.4174996
417,359750.4179887
418,359750.418769
419,359750.4188077
420,359750.4188207
421,359750.4328132
422,359750.4330124
423,359750.433309
424,359750.4476521
425,359750.4478739
426,359750.4480283
427,359750.4632046
428,359750.4633961
429,359750.463824
430,359750.464017
431,359750.4640427
432,359750.4778905
433,359750.4779216
434,359750.4780064
435,359750.4780879
436,359750.4934972
437,359750.4937561
438,359750.4939053
439,359750.5096719
440,359750.5098817
441,359750.5104398
442,359750.5106505
443,359750.5107666
444,359750.5256838
445,359750.5258382
446,359750.5259951
447,359750.5407378
448,359750.5408629
449,359750.5408917
450,359750.5409135
451,359750.5409402
452,359750.5564148
453,359750.5564447
454,359750.5564559
455,359750.5726273
456,359750.5730539
457,359750.5734176
458,359750.5736099
459,359750.5737456
460,359750.5880264
461,359750.5880795
462,359750.588192
463,359750.6034987
464,359750.6036267
465,359750.6036529
466,359750.6037008
467,359750.6043064
468,359750.6186503
469,359750.6187809
470,359750.6189255
471,359750.6343931
472,359750.6346637
473,359750.6348238
474,359750.6349478
475,359750.6500061
476,359750.6500541
477,359750.6500648
478,359750.6500753
479,359750.6505557
480,359750.6810672
481,359750.6965423
482,359750.6965872
483,359750.6971551
484,359750.6972085
485,359750.6972367
486,359750.6972604
487,359750.6972837
488,359750.6973049
489,359750.7116061
490,359750.7277594
491,359750.7576935
492,359750.7577709
493,359750.7580772
494,359750.7743868
495,359750.7745444
496,359750.7749511
497,359750.7751244
498,359750.7898126
499,359750.7900453
500,359750.7902021
501,359750.7904351
502,359750.7907921
503,359750.790959
504,359750.7912666
505,359750.7916471
506,359750.7917924
507,359750.7919103
508,359750.805866
509,359750.8060168
510,359750.8062285
511,359750.8065282
512,359750.8066809
513,359750.8069456
514,359750.8069947
515,359750.807009
516,359750.8213743
517,359750.8216972
518,359750.821942
519,359750.8220995
520,359750.8222193
521,359750.8374252
522,359750.8377485
523,359750.8379862
524,359750.838298
525,359750.8526054
526,359750.8528317
527,359750.8529957
528,359750.8532672
529,359750.8682792
530,359750.8683611
531,359750.8684047
532,359750.8684432
533,359750.8843845
534,359750.884468
535,359750.8845026
536,359750.900372
537,359750.9009546
538,359750.9012309
539,359750.9012704
540,359750.901408
541,359750.9159937
542,359750.91616
543,359750.9163575
544,359750.9314378
545,359750.9315655
546,359750.9316006
547,359750.931638
548,359750.9316672
549,359750.9466316
550,359750.9467386
551,359750.9467664
552,359750.962115
553,359750.9621985
554,359750.9623273
555,359750.9624228
556,359750.9774265
557,359750.9774559
558,359750.9774703
559,359750.9776063
560,359750.9935322
561,359750.9936789
562,359750.9939882
563,359750.9944959
564,359750.9949973
565,359751.0088457
566,359751.0089068
567,359751.0090096
568,359751.0090659
569,359751.0242847
570,359751.0243833
571,359751.0246846
572,359751.0248528
573,359751.0394026
574,359751.0394879
575,359751.0396609
576,359751.039712
577,359751.0545144
578,359751.0704535
579,359751.0704962
580,359751.0705375
581,359751.070886
582,359751.0710261
583,359751.0711714
584,359751.1008391
585,359751.1008849
586,359751.1166681
587,359751.1314752
588,359751.1315862
589,359751.1316392
590,359751.1316623
591,359751.1317875
592,359751.1318231
593,359751.1472938
594,359751.147406
595,359751.1474956
596,359751.1476455
597,359751.1477445
598,359751.1477679
599,359751.1628177
600,359751.1630179
601,359751.1631289
602,359751.1635275
603,359751.16365
604,359751.1637568
605,359751.1638429
606,359751.1781677
607,359751.1786701
608,359751.1789125
609,359751.1791333
610,359751.1792225
611,359751.1946349
612,359751.1954097
613,359751.1954388
614,359751.195534
615,359751.2101196
616,359751.2103807
617,359751.2105406
618,359751.2107691
619,359751.2261774
620,359751.2265174
621,359751.2268664
622,359751.2270005
623,359751.2415287
624,359751.2416285
625,359751.241868
626,359751.2575217
627,359751.2577971
628,359751.2579698
629,359751.2582467
630,359751.2584528
631,359751.2585936
632,359751.2731413
633,359751.2886182
634,359751.2888656
635,359751.2893636
636,359751.2895347
637,359751.2896616
638,359751.3036996
639,359751.3038244
640,359751.3353608
641,359751.3354986
642,359751.335548
643,359751.3355889
644,359751.3356495
645,359751.3360097
646,359751.3361092
647,359751.3361332
648,359751.3361466
649,359751.336158
650,359751.351318
651,359751.3515606
652,359751.3672361
653,359751.3674196
654,359751.3675137
655,359751.3675938
656,359751.36766
657,359751.3834225
658,359751.3841454
659,359751.3842701
660,359751.3843045
661,359751.384329
662,359751.3992244
663,359751.399567
664,359751.3997188
665,359751.3998377
666,359751.41522
667,359751.4155057
668,359751.4156588
669,359751.4308501
670,359751.4311448
671,359751.4314441
672,359751.4318437
673,359751.4458134
674,359751.4612572
675,359751.4614935
676,359751.4920441
677,359751.4921723
678,359751.4923309
679,359751.4927228
680,359751.5077098
681,359751.5079263
682,359751.5080866
683,359751.5084678
684,359751.5086735
685,359751.5087556
686,359751.5241959
687,359751.5244745
688,359751.5245902
689,359751.5248405
690,359751.5251562
691,359751.5252521
692,359751.5256291
693,359751.5257858
694,359751.5259144
695,359751.5260344
696,359751.5397016
697,359751.5399096
698,359751.5403024
699,359751.5407464
700,359751.5410081
701,359751.5554099
702,359751.5555644
703,359751.5556062
704,359751.5556317
705,359751.5709386
706,359751.571041
707,359751.5858993
708,359751.5861354
709,359751.5865704
710,359751.586748
711,359751.5867831
712,359751.5868078
713,359751.6018528
714,359751.602072
715,359751.6024127
716,359751.602824
717,359751.6179619
718,359751.6189793
719,359751.6191708
720,359751.6193022
721,359751.6333563
722,359751.633513
723,359751.6337085
724,359751.6338272
725,359751.6494835
726,359751.6496045
727,359751.6497501
728,359751.6501249
729,359751.6649895
730,359751.6652179
731,359751.6653832
732,359751.6655149
733,359751.6799152
734,359751.6802061
735,359751.6805521
736,359751.6809334
737,359751.6954762
738,359751.7110459
739,359751.7112731
740,359751.711435
741,359751.7117212
742,359751.7119776
743,359751.7257566
744,359751.7261893
