,0
221,361114.0266632
222,361114.0266748
223,361114.0268124
224,361114.0270549
225,361114.0417298
226,361114.0417915
227,361114.041899
228,361114.0421076
229,361114.0422068
230,361114.0571981
231,361114.0575172
232,361114.0576705
233,361114.073087
234,361114.073197
235,361114.0732302
236,361114.0732727
237,361114.0732963
238,361114.0887124
239,361114.088831
240,361114.0888931
241,361114.088917
242,361114.0889424
243,361114.1037971
244,361114.1190054
245,361114.1191788
246,361114.1195162
247,361114.1196337
248,361114.1339298
249,361114.1341752
250,361114.1343481
251,361114.1344654
252,361114.1494552
253,361114.1495843
254,361114.1498974
255,361114.1499585
256,361114.1500863
257,361114.1649223
258,361114.1649701
259,361114.1649823
260,361114.18034
261,361114.1803873
262,361114.1804732
263,361114.1965465
264,361114.1965919
265,361114.1966035
266,361114.1966202
267,361114.1966975
268,361114.2120594
269,361114.2121186
270,361114.212167
271,361114.2124027
272,361114.2273719
273,361114.2274331
274,361114.2274439
275,361114.2274817
276,361114.2426563
277,361114.2427013
278,361114.2427121
279,361114.2427244
280,361114.2427535
281,361114.2586219
282,361114.2587786
283,361114.2589602
284,361114.2740283
285,361114.2740614
286,361114.2741195
287,361114.2741558
288,361114.2896634
289,361114.2898337
290,361114.2898802
291,361114.2899696
292,361114.2899939
293,361114.3371045
294,361114.3529577
295,361114.35308
296,361114.3531526
297,361114.353181
298,361114.3531944
299,361114.3532245
300,361114.3680015
301,361114.3681934
302,361114.3682313
303,361114.3682659
304,361114.3682964
305,361114.3834857
306,361114.3837481
307,361114.3840177
308,361114.3841442
309,361114.3841642
310,361114.384194
311,361114.3842177
312,361114.3842409
313,361114.4001085
314,361114.4001767
315,361114.4003306
316,361114.4004545
317,361114.4005797
318,361114.400699
319,361114.4157082
320,361114.4158453
321,361114.4158719
322,361114.4158997
323,361114.4159295
324,361114.4311826
325,361114.4315066
326,361114.431855
327,361114.4322707
328,361114.4466656
329,361114.4467241
330,361114.4467545
331,361114.4616574
332,361114.4617795
333,361114.4618676
334,361114.4619549
335,361114.4775715
336,361114.4778107
337,361114.4780604
338,361114.4782778
339,361114.4931282
340,361114.4931942
341,361114.493372
342,361114.4935402
343,361114.5397127
344,361114.5397605
345,361114.5399431
346,361114.5400797
347,361114.540202
348,361114.540325
349,361114.5404391
350,361114.5405792
351,361114.5555212
352,361114.5557662
353,361114.5560437
354,361114.5562364
355,361114.5564518
356,361114.5564957
357,361114.5565211
358,361114.5718521
359,361114.5719049
360,361114.5719727
361,361114.5721425
362,361114.5723256
363,361114.5877028
364,361114.5877644
365,361114.587992
366,361114.5881116
367,361114.6029743
368,361114.6031374
369,361114.6031861
370,361114.6191941
371,361114.6192332
372,361114.6192446
373,361114.6192622
374,361114.6346193
375,361114.6346818
376,361114.634754
377,361114.634811
378,361114.6500599
379,361114.6501535
380,361114.6501823
381,361114.6502099
382,361114.6655733
383,361114.6657035
384,361114.665804
385,361114.6658417
386,361114.6961059
387,361114.7115606
388,361114.7272477
389,361114.7427601
390,361114.743051
391,361114.7432034
392,361114.7435326
393,361114.7435447
394,361114.7435584
395,361114.7435683
